Response,Submitted on:,Collection,Department,Course,Group,ID,Full name,Username,Complete,Q01_Rate instructor->1. The instructor is well-prepared for class,Q01_Rate instructor->2. The instructor clearly communicates his expectations for student preparation and participation,Q01_Rate instructor->3. The instructor uses class time effectively,Q01_Rate instructor->4. The instructor has clear expectations for assigned work,Q01_Rate instructor->5. The instructor encourages student participation,Q01_Rate instructor->6. The instructor clearly answers questions,Q01_Rate instructor->7. The instructor treats students with respect,Q01_Rate instructor->8. The instructor effectively directs and stimulates discussion,Q01_Rate instructor->9. The instructor effectively encourages students to ask questions and give answers,Q02_Like  best,Q03_Change,Q04_Strengths
C1R1,08/03/2022 12:16:03,Collection1,SC,CS280/202210/1,,,Anonymous1,,y,2,1,1,1,3,1,4,1,1,literally not a thing ,"the professor, the grading scheme ",??
C1R2,03/03/2022 14:42:35,Collection1,SC,CS280/202210/1,,,Anonymous2,,y,4,5,2,5,5,5,5,4,4,I like how quick the teacher is to answer any question about a assignment or a project and clarify any detail.  ,I feel like if we had some more information about debate topics we would be able to debate more effectively. ,The teacher always answers questions about assignments and projects when ever he is asked about them so I always feel prepared for the next assignment.
C1R3,07/03/2022 10:15:14,Collection1,SC,CS280/202210/1,,,Anonymous3,,y,4,4,4,4,4,4,4,4,4,,,
C1R4,11/03/2022 23:31:21,Collection1,SC,CS280/202210/1,,,Anonymous4,,y,3,4,3,2,5,3,5,4,5,,I am confused on what the topics of this course even are. Every class it's students asking questions about the assignments and projects and then we have about 15 minutes at the end of every class to try and have a discussion. ,Having open communication with the students. No one is afraid to turn their microphones on and talk or share an opinion. It is a very welcoming environment. 
C1R5,03/03/2022 10:03:06,Collection1,SC,CS280/202210/1,,,Anonymous5,,y,5,5,4,5,5,5,5,5,5,"The course effectively encourages me to ask questions and give answers. I like the class discussions on current topics in the world, helps me keep myself aware of what is happening in the world. ",This class is different from all the other classes I have taken. The discussions are open-ended and sometimes I feel I am not sure how well I am doing in this class or what I am learning. I would like to see more concrete implementation for achieving the desired learning outcomes. I do not what would be there on the final exam and what should I need to do to pass the final exam.,Dr. Daryl Hepting is a great mentor with a lot of knowledge and experience teaching this course. He is always well-prepared for the class and communicates his expectations for students clearly. His teaching style encourages student participation. He is very respectful of his students and always willing to go above and beyond for helping his students. I would definitely take another class with Dr. Hepting.
C1R6,11/03/2022 11:02:57,Collection1,SC,CS280/202210/1,,,Anonymous6,,y,2,2,1,2,5,3,5,4,5,The discussion section of each lecture.,The clarity on what is expected of us on assignments.,discussions
C1R7,09/03/2022 18:43:16,Collection1,ES,CS280/202210/1,,,Anonymous7,,y,1,1,1,2,3,1,3,2,2,,,
C1R8,11/03/2022 23:58:36,Collection1,SC,CS280/202210/1,,,Anonymous8,,y,3,3,3,3,3,3,3,3,3,The content,Nothing,His communication skills
C1R9,11/03/2022 13:13:23,Collection1,SC,CS280/202210/1,,,Anonymous9,,y,3,3,4,4,5,4,5,5,5,,,
C1R10,07/03/2022 20:16:16,Collection1,SC,CS280/202210/1,,,Anonymous10,,y,5,5,5,5,5,5,5,5,5,"The teacher's lessons are very informative, and then you need to reply every day so that people can discuss the content of the daily lessons.",NO,NO
C1R11,03/03/2022 22:56:06,Collection1,SC,CS280/202210/1,,,Anonymous11,,y,5,4,4,5,4,5,5,4,5,I enjoy how the instructor is very knowledgeable and always available when questions need to be answered.  ,"Not much honestly, I don't see a need to change something that works.",His knowledge. 
C1R12,11/03/2022 11:04:56,Collection1,SC,CS280/202210/1,,,Anonymous12,,y,3,3,1,3,3,3,4,2,2,N/A,I'd like more focus and discussion on the course material and more focus overall. Too much time is spent talking about assignment submissions and not enough about topics relating to the course material.Discussions more suited for office hours routinely dominate class time and obstruct relevant discussion.,N/A
C1R13,04/03/2022 15:23:06,Collection1,SC,CS280/202210/1,,,Anonymous13,,y,4,4,4,5,5,3,5,5,5,The discussions ,Nothing I can think of,Creative
C1R14,05/03/2022 09:03:50,Collection1,SC,CS280/202210/1,,,Anonymous14,,y,3,3,3,4,3,2,5,3,3,I like the say we are able to give about assignment due dates.,I would probably change how to teach things having more of a concrete definition of different topics.,Greatest strengths are being able to communicate with students about assignment topics as well as the freedom he is able to give students in his class.
C1R15,07/03/2022 09:42:20,Collection1,SC,CS280/202210/1,,,Anonymous15,,y,5,5,5,5,5,5,5,5,5,,,
